tst1,50, Self-emp-not-inc, 83311, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 13, United-States,?
tst24,28, Private, 166481, 7th-8th, 4, Married-civ-spouse, Handlers-cleaners, Husband, Other, Male, 0, 2179, 40, Puerto-Rico,?
tst25,35, Private, 92440, 12th, 8, Divorced, Craft-repair, Not-in-family, White, Male, 0, 0, 50, United-States,?
tst26,34, Local-gov, 117018, Some-college, 10, Never-married, Protective-serv, Not-in-family, White, Female, 0, 0, 40, United-States,?
tst27,30, Private, 118551, Bachelors, 13, Married-civ-spouse, Tech-support, Wife, White, Female, 0, 0, 16, United-States,?
tst28,46, Private, 279196, Bachelors, 13, Never-married, Craft-repair, Not-in-family, White, Female, 0, 0, 40, United-States,?
tst29,25, Private, 267044, Some-college, 10, Never-married, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female, 0, 0, 20, United-States,?
tst30,29, Private, 102345, Assoc-voc, 11, Separated, Craft-repair, Not-in-family, White, Male, 0, 0, 40, United-States,?
tst31,44, Private, 210525, Some-college, 10, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 40, United-States,?
tst32,32, Private, 84179, HS-grad, 9, Never-married, Handlers-cleaners, Not-in-family, White, Female, 0, 0, 45, United-States,?
tst33,21, Private, 259510, HS-grad, 9, Never-married, Handlers-cleaners, Own-child, White, Male, 0, 0, 36, United-States,?
tst34,28, Private, 114053, Bachelors, 13, Never-married, Transport-moving, Not-in-family, White, Male, 0, 0, 55, United-States,?
tst35,43, Self-emp-inc, 188436, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 5013, 0, 45, United-States,?
tst36,29, Self-emp-not-inc, 110663, HS-grad, 9, Separated, Craft-repair, Not-in-family, White, Male, 0, 0, 35, United-States,?
tst37,29, Private, 350162, Bachelors, 13, Married-civ-spouse, Exec-managerial, Wife, White, Male, 0, 0, 40, United-States,?
tst38,35, Private, 203628, Masters, 14, Never-married, Prof-specialty, Not-in-family, White, Male, 0, 0, 60, United-States,?
tst39,45, Private, 242552, Some-college, 10, Never-married, Sales, Not-in-family, Black, Male, 0, 0, 40, United-States,?
tst40,27, Private, 31757, Assoc-voc, 11, Never-married, Craft-repair, Own-child, White, Male, 0, 0, 38, United-States,?
tst41,53, Self-emp-inc, 128272, Doctorate, 16, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 70, United-States,?
tst42,18, Private, 231193, 12th, 8, Never-married, Machine-op-inspct, Own-child, White, Male, 0, 0, 30, United-States,?
tst43,31, Private, 171871, Masters, 14, Never-married, Prof-specialty, Not-in-family, White, Female, 0, 0, 46, United-States,?
tst44,55, Private, 387569, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 4386, 0, 40, United-States,?
tst45,34, Private, 111567, HS-grad, 9, Never-married, Transport-moving, Own-child, White, Male, 0, 0, 40, United-States,?
tst46,48, Private, 285335, 11th, 7, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 50, United-States,?
tst47,40, Private, 170108, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States,?
tst48,51, Self-emp-not-inc, 175897, 9th, 5, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 20, United-States,?
tst49,33, Private, 143653, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 30, United-States,?
tst50,35, Private, 465507, HS-grad, 9, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male, 0, 0, 40, United-States,?
tst51,20, Private, 241752, HS-grad, 9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 40, United-States,?
tst52,40, Private, 184682, Some-college, 10, Divorced, Adm-clerical, Unmarried, White, Female, 0, 0, 40, United-States,?
tst53,31, Private, 162572, HS-grad, 9, Never-married, Other-service, Own-child, White, Male, 0, 0, 16, United-States,?
tst54,34, Private, 33117, Some-college, 10, Married-civ-spouse, Other-service, Husband, White, Male, 0, 0, 40, United-States,?
tst55,23, Private, 129042, HS-grad, 9, Never-married, Machine-op-inspct, Unmarried, Black, Female, 0, 0, 40, United-States,?
tst56,48, State-gov, 55863, Doctorate, 16, Married-civ-spouse, Prof-specialty, Wife, White, Female, 0, 1902, 46, United-States,?
tst57,27, Private, 137645, Bachelors, 13, Never-married, Sales, Not-in-family, Black, Female, 0, 1590, 40, United-States,?
tst58,43, Private, 182254, Some-college, 10, Divorced, Prof-specialty, Unmarried, White, Female, 0, 0, 40, United-States,?
tst59,60, Self-emp-inc, 226355, Assoc-voc, 11, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 2415, 70, ?,?
tst60,26, Private, 227332, Bachelors, 13, Never-married, Transport-moving, Unmarried, Asian-Pac-Islander, Male, 0, 0, 40, ?,?
tst61,40, Private, 216237, Bachelors, 13, Divorced, Exec-managerial, Not-in-family, White, Female, 0, 0, 45, United-States,?
tst62,42, Self-emp-not-inc, 166813, Some-college, 10, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 0, 60, United-States,?
tst63,65, Self-emp-not-inc, 167414, HS-grad, 9, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 59, United-States,?
tst64,37, Private, 387430, Some-college, 10, Married-civ-spouse, Adm-clerical, Husband, White, Male, 0, 0, 37, United-States,?
tst65,51, Local-gov, 152754, Bachelors, 13, Married-civ-spouse, Adm-clerical, Husband, White, Male, 0, 0, 40, United-States,?
tst66,47, Private, 386136, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 35, United-States,?
tst67,39, Private, 278403, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 65, United-States,?
tst68,36, Self-emp-not-inc, 180686, Prof-school, 15, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 50, United-States,?
tst69,30, Private, 209103, Assoc-voc, 11, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 48, United-States,?
tst70,37, Private, 32668, Bachelors, 13, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 43, United-States,?
tst71,20, ?, 244689, Some-college, 10, Never-married, ?, Not-in-family, White, Female, 0, 0, 25, United-States,?
tst72,41, Private, 102332, HS-grad, 9, Divorced, Sales, Unmarried, Black, Female, 0, 0, 40, United-States,?
tst73,65, Private, 198766, Masters, 14, Married-civ-spouse, Sales, Husband, White, Male, 20051, 0, 40, United-States,?
tst74,61, ?, 347089, HS-grad, 9, Married-civ-spouse, ?, Husband, White, Male, 0, 0, 16, United-States,?
tst75,31, Private, 209448, 10th, 6, Married-civ-spouse, Farming-fishing, Husband, White, Male, 2105, 0, 40, Mexico,?
tst76,19, Private, 225775, Some-college, 10, Never-married, Adm-clerical, Not-in-family, White, Male, 0, 0, 40, United-States,?
tst77,20, Private, 170800, Some-college, 10, Never-married, Farming-fishing, Own-child, White, Female, 0, 0, 40, United-States,?
tst78,43, Private, 75742, HS-grad, 9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 40, United-States,?
tst79,35, Private, 265954, HS-grad, 9, Separated, Other-service, Not-in-family, Black, Male, 0, 0, 40, United-States,?
tst80,26, State-gov, 197156, HS-grad, 9, Divorced, Adm-clerical, Own-child, White, Female, 0, 0, 30, United-States,?
tst81,62, Private, 162245, Prof-school, 15, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 1628, 70, United-States,?
tst82,43, Local-gov, 160574, Bachelors, 13, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States,?
tst83,38, Self-emp-not-inc, 257250, HS-grad, 9, Never-married, Farming-fishing, Not-in-family, White, Male, 0, 0, 52, United-States,?
tst84,50, Private, 21095, Some-college, 10, Divorced, Other-service, Unmarried, Asian-Pac-Islander, Male, 0, 0, 40, Philippines,?
tst85,65, State-gov, 209280, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 6514, 0, 35, United-States,?
tst86,62, Private, 273454, 7th-8th, 4, Married-civ-spouse, Protective-serv, Husband, White, Male, 0, 0, 40, Cuba,?
tst87,44, Private, 43711, Assoc-acdm, 12, Married-civ-spouse, Sales, Husband, White, Male, 7688, 0, 40, United-States,?
tst88,37, Private, 188540, HS-grad, 9, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 1902, 45, United-States,?
tst89,55, Private, 199067, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States,?
tst90,45, Private, 182655, Bachelors, 13, Divorced, Other-service, Not-in-family, White, Male, 0, 0, 45, ?,?
tst91,40, Private, 135056, Assoc-acdm, 12, Divorced, Adm-clerical, Unmarried, White, Female, 0, 0, 40, United-States,?
tst92,33, Private, 155343, HS-grad, 9, Married-civ-spouse, Sales, Husband, White, Male, 3103, 0, 40, United-States,?
tst93,25, Private, 176520, HS-grad, 9, Never-married, Craft-repair, Other-relative, White, Male, 0, 0, 40, United-States,?
tst94,45, Local-gov, 339681, Masters, 14, Divorced, Prof-specialty, Unmarried, White, Female, 1506, 0, 45, United-States,?
tst95,50, ?, 156008, 11th, 7, Married-civ-spouse, ?, Own-child, Black, Female, 0, 0, 40, United-States,?
tst96,37, Private, 329980, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 2415, 60, United-States,?
tst97,49, Private, 268022, Bachelors, 13, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 50, United-States,?
tst98,30, Private, 111415, HS-grad, 9, Married-civ-spouse, Other-service, Husband, White, Male, 0, 0, 55, Germany,?
tst99,47, Private, 363418, Some-college, 10, Never-married, Sales, Not-in-family, White, Male, 0, 0, 70, United-States,?
tst100,50, Private, 112351, HS-grad, 9, Divorced, Exec-managerial, Unmarried, White, Male, 0, 0, 38, United-States,?
tst101,20, Private, 176321, 12th, 8, Never-married, Adm-clerical, Own-child, White, Female, 0, 0, 40, Mexico,?
tst102,25, Self-emp-not-inc, 305449, Some-college, 10, Never-married, Machine-op-inspct, Own-child, White, Male, 0, 0, 40, United-States,?
tst103,30, Private, 343699, HS-grad, 9, Divorced, Craft-repair, Unmarried, White, Female, 0, 0, 40, United-States,?
tst104,17, ?, 103810, 12th, 8, Never-married, ?, Own-child, White, Male, 0, 0, 40, United-States,?
tst105,45, Private, 26522, Some-college, 10, Married-civ-spouse, Adm-clerical, Wife, White, Female, 0, 1902, 35, United-States,?
tst106,57, Private, 103809, HS-grad, 9, Never-married, Sales, Unmarried, White, Female, 0, 0, 40, United-States,?
tst107,25, Private, 441591, Bachelors, 13, Never-married, Tech-support, Own-child, White, Male, 0, 0, 40, United-States,?
tst108,46, Private, 27669, HS-grad, 9, Never-married, Other-service, Not-in-family, White, Female, 0, 0, 28, United-States,?
tst109,47, Private, 298130, HS-grad, 9, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 40, United-States,?
tst110,34, Self-emp-not-inc, 306982, Bachelors, 13, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male, 0, 0, 60, South,?
tst111,39, ?, 179352, Some-college, 10, Divorced, ?, Not-in-family, White, Female, 0, 0, 35, United-States,?
tst112,32, Local-gov, 222900, Bachelors, 13, Separated, Prof-specialty, Not-in-family, White, Female, 0, 0, 50, United-States,?
tst113,58, Self-emp-not-inc, 164065, Masters, 14, Divorced, Sales, Not-in-family, White, Male, 0, 0, 18, United-States,?
tst114,18, ?, 120243, 11th, 7, Never-married, ?, Own-child, White, Male, 0, 0, 27, United-States,?
tst115,27, Local-gov, 29174, Bachelors, 13, Never-married, Prof-specialty, Unmarried, White, Female, 0, 0, 40, United-States,?
tst116,18, Private, 201901, HS-grad, 9, Never-married, Handlers-cleaners, Own-child, White, Female, 0, 1719, 15, United-States,?
tst117,25, Private, 157900, Some-college, 10, Separated, Adm-clerical, Unmarried, White, Female, 0, 0, 40, United-States,?
tst118,42, Private, 27444, Some-college, 10, Married-spouse-absent, Prof-specialty, Not-in-family, White, Male, 0, 0, 40, United-States,?
tst119,40, Private, 234633, Some-college, 10, Never-married, Craft-repair, Not-in-family, White, Male, 0, 0, 40, United-States,?
tst120,39, Private, 77146, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 1887, 50, United-States,?
tst121,25, Federal-gov, 207342, Some-college, 10, Never-married, Exec-managerial, Not-in-family, Black, Male, 0, 0, 40, United-States,?
tst122,53, Private, 156843, Masters, 14, Never-married, Prof-specialty, Not-in-family, White, Female, 0, 1564, 54, United-States,?
tst123,20, Private, 171398, 10th, 6, Never-married, Sales, Not-in-family, Other, Male, 0, 0, 40, United-States,?
tst124,23, Private, 342946, 11th, 7, Never-married, Transport-moving, Own-child, White, Female, 0, 0, 38, United-States,?
tst125,31, Self-emp-not-inc, 161745, Bachelors, 13, Married-spouse-absent, Exec-managerial, Not-in-family, White, Male, 0, 1980, 60, United-States,?
tst126,54, ?, 169785, Masters, 14, Never-married, ?, Not-in-family, White, Female, 0, 0, 40, United-States,?
tst127,52, Private, 198824, Assoc-voc, 11, Separated, Other-service, Unmarried, White, Female, 0, 0, 35, United-States,?
tst128,47, Self-emp-not-inc, 102359, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 30, United-States,?
tst129,24, Private, 213427, HS-grad, 9, Never-married, Adm-clerical, Not-in-family, White, Male, 0, 0, 40, United-States,?
tst130,19, ?, 192773, Some-college, 10, Never-married, ?, Own-child, White, Female, 0, 0, 35, United-States,?
tst131,58, State-gov, 110517, Doctorate, 16, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male, 4064, 0, 40, India,?
tst132,46, Private, 174209, HS-grad, 9, Divorced, Exec-managerial, Not-in-family, White, Male, 0, 0, 45, United-States,?
tst133,34, Private, 203408, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 7688, 0, 50, United-States,?
tst134,42, Private, 245626, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male, 0, 0, 60, United-States,?
tst135,42, Federal-gov, 296798, 11th, 7, Never-married, Tech-support, Not-in-family, White, Male, 0, 1340, 40, United-States,?
tst136,33, Private, 118941, Bachelors, 13, Married-civ-spouse, Exec-managerial, Wife, White, Female, 0, 0, 40, United-States,?
tst137,49, Private, 23074, Some-college, 10, Widowed, Exec-managerial, Not-in-family, White, Female, 0, 0, 40, United-States,?
tst138,78, Local-gov, 136198, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 15, United-States,?
tst139,46, Private, 189763, HS-grad, 9, Divorced, Sales, Not-in-family, White, Female, 0, 0, 30, United-States,?
tst140,34, Private, 231238, HS-grad, 9, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male, 0, 0, 40, United-States,?
tst141,32, Federal-gov, 566117, Some-college, 10, Divorced, Adm-clerical, Unmarried, White, Female, 0, 0, 40, United-States,?
tst142,44, Self-emp-inc, 133060, Some-college, 10, Divorced, Machine-op-inspct, Not-in-family, White, Male, 0, 0, 60, United-States,?
tst143,26, Private, 34402, Bachelors, 13, Never-married, Adm-clerical, Not-in-family, White, Male, 0, 0, 45, United-States,?
tst144,53, Self-emp-not-inc, 152652, Some-college, 10, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 0, 50, United-States,?
tst145,45, Local-gov, 132563, Prof-school, 15, Divorced, Prof-specialty, Unmarried, Black, Female, 0, 1726, 40, United-States,?
tst146,33, Private, 149220, Assoc-voc, 11, Never-married, Other-service, Unmarried, Black, Female, 0, 0, 40, United-States,?
tst147,17, ?, 179715, 10th, 6, Never-married, ?, Own-child, White, Male, 0, 0, 40, United-States,?
tst148,25, Private, 98281, 12th, 8, Never-married, Handlers-cleaners, Unmarried, White, Male, 0, 0, 43, United-States,?
tst149,43, Self-emp-not-inc, 272165, 9th, 5, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States,?
tst150,45, Private, 348854, Some-college, 10, Separated, Adm-clerical, Unmarried, White, Female, 0, 0, 27, United-States,?
tst151,68, ?, 133758, 7th-8th, 4, Widowed, ?, Not-in-family, Black, Male, 0, 0, 10, United-States,?
tst152,38, Private, 183279, Some-college, 10, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 44, United-States,?
tst153,38, Private, 53930, 10th, 6, Never-married, Craft-repair, Not-in-family, Black, Male, 0, 0, 40, ?,?
tst154,40, State-gov, 40024, Prof-school, 15, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 38, United-States,?
tst155,65, Self-emp-inc, 81413, HS-grad, 9, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 2352, 65, United-States,?
tst156,42, Private, 54102, Assoc-voc, 11, Divorced, Adm-clerical, Unmarried, White, Female, 0, 0, 40, United-States,?
tst157,44, State-gov, 351228, HS-grad, 9, Married-civ-spouse, Adm-clerical, Husband, White, Male, 0, 0, 40, United-States,?
tst158,55, Self-emp-inc, 189933, HS-grad, 9, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 45, United-States,?
tst159,38, Private, 242720, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 35, United-States,?
tst160,36, Private, 208358, Prof-school, 15, Divorced, Prof-specialty, Not-in-family, White, Male, 99999, 0, 45, United-States,?
tst161,59, Private, 374924, HS-grad, 9, Separated, Sales, Unmarried, Black, Female, 0, 0, 40, United-States,?
tst162,37, Private, 325538, HS-grad, 9, Never-married, Exec-managerial, Own-child, White, Male, 0, 0, 60, ?,?
tst163,32, Private, 44392, Assoc-acdm, 12, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, 0, 0, 40, United-States,?
tst164,25, Private, 206600, 9th, 5, Never-married, Machine-op-inspct, Other-relative, White, Male, 0, 0, 48, Mexico,?
tst165,36, Self-emp-inc, 164866, Assoc-acdm, 12, Separated, Exec-managerial, Not-in-family, White, Male, 0, 0, 50, United-States,?
tst166,76, ?, 28221, HS-grad, 9, Married-civ-spouse, ?, Husband, White, Male, 0, 0, 40, Canada,?
tst167,47, Local-gov, 242552, Some-college, 10, Never-married, Protective-serv, Not-in-family, Black, Male, 0, 0, 40, United-States,?
tst168,20, Private, 195770, Some-college, 10, Never-married, Adm-clerical, Own-child, White, Male, 0, 0, 26, United-States,?
tst169,36, Private, 284616, Some-college, 10, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States,?
tst170,40, Private, 327573, Assoc-voc, 11, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States,?
tst171,45, Private, 214627, Doctorate, 16, Widowed, Prof-specialty, Unmarried, White, Male, 15020, 0, 40, Iran,?
tst172,39, Local-gov, 357173, Assoc-acdm, 12, Divorced, Prof-specialty, Not-in-family, White, Male, 0, 0, 59, United-States,?
tst173,56, Private, 174351, 12th, 8, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, Italy,?
tst174,38, Private, 364782, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States,?
tst175,50, Private, 400004, Some-college, 10, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 60, United-States,?
tst176,31, Private, 120461, Bachelors, 13, Never-married, Exec-managerial, Not-in-family, White, Female, 0, 0, 40, United-States,?
tst177,36, Private, 165799, Masters, 14, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 50, United-States,?
tst178,17, ?, 213055, 11th, 7, Never-married, ?, Not-in-family, Other, Female, 0, 0, 20, United-States,?
tst179,44, Private, 378251, HS-grad, 9, Married-civ-spouse, Adm-clerical, Wife, White, Female, 0, 0, 38, United-States,?
tst180,30, Private, 206051, HS-grad, 9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, 0, 0, 40, United-States,?
tst181,22, Private, 437994, Some-college, 10, Never-married, Other-service, Other-relative, Black, Male, 0, 0, 20, United-States,?
tst182,36, Private, 160120, HS-grad, 9, Married-civ-spouse, Adm-clerical, Husband, Asian-Pac-Islander, Male, 0, 0, 40, Vietnam,?
tst183,32, Private, 353994, Bachelors, 13, Married-civ-spouse, Exec-managerial, Other-relative, Asian-Pac-Islander, Female, 0, 0, 40, China,?
tst184,18, Private, 193741, 11th, 7, Never-married, Other-service, Other-relative, Black, Male, 0, 0, 30, United-States,?
tst185,29, Private, 174163, Some-college, 10, Divorced, Exec-managerial, Not-in-family, White, Female, 0, 0, 40, United-States,?
tst186,55, Private, 171780, Assoc-acdm, 12, Divorced, Sales, Unmarried, Black, Female, 0, 0, 30, United-States,?
tst187,28, Private, 209109, Bachelors, 13, Married-civ-spouse, Other-service, Husband, White, Male, 0, 0, 50, United-States,?
tst188,47, Private, 140664, Bachelors, 13, Divorced, Sales, Not-in-family, White, Male, 0, 0, 45, United-States,?
tst189,43, Private, 193494, Some-college, 10, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States,?
tst190,20, ?, 34862, Some-college, 10, Never-married, ?, Own-child, Amer-Indian-Eskimo, Male, 0, 0, 72, United-States,?
tst191,44, Private, 103459, HS-grad, 9, Married-civ-spouse, Sales, Wife, White, Female, 0, 0, 40, United-States,?
tst192,19, Private, 251579, Some-college, 10, Never-married, Other-service, Own-child, White, Male, 0, 0, 14, United-States,?
tst193,28, Private, 250679, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States,?
tst194,63, Local-gov, 109849, Bachelors, 13, Never-married, Prof-specialty, Not-in-family, Black, Female, 0, 0, 21, United-States,?
tst195,52, Self-emp-not-inc, 103794, Assoc-voc, 11, Divorced, Prof-specialty, Not-in-family, White, Female, 0, 0, 35, United-States,?
tst196,44, State-gov, 296326, Bachelors, 13, Never-married, Adm-clerical, Not-in-family, White, Male, 0, 0, 40, United-States,?
tst197,35, Private, 95551, HS-grad, 9, Separated, Exec-managerial, Not-in-family, White, Female, 0, 0, 36, United-States,?
tst198,35, Private, 227571, 7th-8th, 4, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, 0, 0, 40, Mexico,?
tst199,34, Self-emp-not-inc, 320194, Prof-school, 15, Separated, Prof-specialty, Unmarried, White, Male, 0, 0, 48, United-States,?
tst200,38, State-gov, 220421, Bachelors, 13, Never-married, Exec-managerial, Not-in-family, White, Female, 0, 0, 40, United-States,?
tst201,19, ?, 208874, Some-college, 10, Never-married, ?, Own-child, White, Male, 0, 0, 40, United-States,?
tst202,59, Private, 67841, HS-grad, 9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, 0, 0, 40, United-States,?
tst203,19, Private, 430471, 11th, 7, Never-married, Handlers-cleaners, Own-child, White, Male, 0, 0, 40, United-States,?
tst204,51, Local-gov, 146181, 9th, 5, Married-civ-spouse, Transport-moving, Husband, Black, Male, 0, 0, 40, United-States,?
tst205,20, Self-emp-not-inc, 186014, Some-college, 10, Never-married, Adm-clerical, Own-child, White, Female, 0, 0, 12, Germany,?
tst206,20, ?, 174714, Some-college, 10, Never-married, ?, Own-child, White, Male, 0, 0, 20, United-States,?
tst207,63, Private, 154526, Some-college, 10, Widowed, Other-service, Not-in-family, White, Female, 0, 0, 40, United-States,?
tst208,21, Private, 452640, HS-grad, 9, Never-married, Craft-repair, Not-in-family, White, Male, 0, 0, 40, United-States,?
tst209,26, Private, 229523, HS-grad, 9, Married-civ-spouse, Machine-op-inspct, Wife, White, Female, 0, 0, 56, United-States,?
tst210,64, Private, 321166, Bachelors, 13, Divorced, Sales, Not-in-family, White, Female, 0, 0, 5, United-States,?
tst211,20, Private, 217421, HS-grad, 9, Married-civ-spouse, Adm-clerical, Other-relative, White, Female, 0, 0, 40, United-States,?
tst212,30, Local-gov, 73796, Bachelors, 13, Separated, Prof-specialty, Not-in-family, White, Female, 0, 0, 40, United-States,?
tst213,32, Private, 175413, HS-grad, 9, Never-married, Adm-clerical, Other-relative, Black, Female, 0, 0, 40, Jamaica,?
tst214,66, ?, 160995, 10th, 6, Divorced, ?, Not-in-family, White, Female, 1086, 0, 20, United-States,?
tst215,49, Private, 176684, Assoc-voc, 11, Never-married, Exec-managerial, Unmarried, White, Female, 0, 0, 40, United-States,?
tst216,51, Local-gov, 240358, HS-grad, 9, Married-civ-spouse, Protective-serv, Husband, White, Male, 0, 0, 40, United-States,?
tst217,40, Federal-gov, 26358, Assoc-acdm, 12, Never-married, Adm-clerical, Not-in-family, White, Female, 0, 0, 40, United-States,?
tst218,21, Private, 30039, Some-college, 10, Never-married, Prof-specialty, Own-child, White, Male, 0, 0, 40, United-States,?
tst219,22, ?, 211968, Some-college, 10, Never-married, ?, Own-child, White, Female, 0, 0, 40, Iran,?
tst220,53, Federal-gov, 174040, Some-college, 10, Separated, Craft-repair, Not-in-family, Black, Male, 0, 0, 40, United-States,?
tst221,52, Private, 117700, HS-grad, 9, Divorced, Adm-clerical, Not-in-family, White, Female, 0, 0, 40, United-States,?
